"","Rating","Review","lang"
"1",4,"Just had a couple of days in London. Picked this hotel as it was close to where I needed to be and pretty central to everything else. Haven't stayed in a Thistle Hotel for a while as have become confirmed Marriott fans. It has made a change to do something different. Although, the room was probably the smallest I have ever stayed in, it had everything you could need for a short stay. There was only a shower, no bath, but what a shower!!! It was wonderful - a full power shower and worthy of several uses in one day!! The breakfast was also the best breakfast we have had, possibly ever. The choices were fantastic and everything was topped up constantly. There was no rush, you could stay as long as you liked.The staff were attentive and readily available should you need them. I would definitely recommend this hotel if you just need a base whilst in London - but maybe not if you intend to spend much time in your room. One last thing: 5 minutes after arriving in our room, I received a call from reception to ask if everything was okay. Maybe if I had said the room was too small I might have been moved but I will never know as I said it was fine!! (This was a really nice touch and it has left a bench mark impression).","en"
"2",5,"Found this hotel on late rooms. We were looking for somewhere near to Leicester Square/ Covent Garden . It's a good 10 min walk, just perfect! It's tucked in a street behind the Dominion Theatre. There is an Ncp car park more or less opposite. £38 for 24 hrs. We stayed for one night . This hotel was lovely and quiet. The beautiful scents as you walk in are smelt all around the hotel. Very clean.Staff were very attentive. We were given an upgrade too on arrival! Room was lovely. Gowns/ slippers provided , also free bottled water , which had been replaced when we returned to our room in the evening. Beds were turned too. We had drinks in the bar before we went out. Reasonable priced I felt. £7.50 for a glass of wine, £13 for a cocktail. Again very relaxed atmosphere, in fact we stayed here until 11.30 before walking to Leicester Square . The barman was brilliant. Breakfast was good, cooked to order . We payed £18 each when we arrived for this . Only negative was with our bill, we were charged for the room which we had already payed for , but this was soon rectified. Would definitely recommend and will definitely be back.","en"
"3",5,"This was our first stay at the hotel and we were glad we made the change from our usual haunts. As it is a smaller hotel it has a real boutique feel and the staff are excellent. We made use of the rolls which was a lovely change from the usual black cab journey to our restaurant. All in all a great stay and we will certainly be back.","en"
"4",4,"Just came back after saying 3 nights here. What can I say about this place? Firstly it's in a great location, safe and easy access to town. The room is tiny but as we only stayed in the room to sleep, I have no complaints. The shower room was small also ,but the shower was fantastic, powerful and hot. The breakfast was lovely and the place was clean. the staff were very helpful. Overall I really loved this place and will return here again. The only thing that stopped me rating this hotel the highest was that it need a coat of paint and new carpets but I have stayed in far more expensive hotels and which were not a patch on this place.","en"
"5",4,"Stayed in twin room 3312 in the annexe building. The room was blissfully quiet, clean and comfortable. The usual coffee and tea making facilities were available, and there was a decent sized desk / working area with an office-style chair as well as a small armchair. A proper hairdryer was located right next to a full length mirror which is always a bonus. In place of a wardrobe, there was a small area with enough metal hangers to store an ample amount of clothing. The stylish bathroom with walk in shower was spotless, and there was a pump dispenser for body wash within the shower and hand wash by the sink. No other toiletries were available, although a sign indicated you could ask for items at reception. Two vending machines near the reception area were available for basic snacks and drinks, plus a range of useful 'essential' items. A basic continental / cooked self-serve breakfast was included in the price and this was taken in a room with a very pleasant atrium design, which allowed natural light to flood in. The staff at reception and at breakfast were some of the most polite and courteous I've spoken too, and we had no problem leaving our luggage after check out, so that we could spend more time in London. The tube at West Kensington was just a 5 minute walk away, and buses 28 and 391 stopped right outside the hotel entrance.","en"
"6",4,"Not quite sure what the issue was with the executive lounge that one of the previous reviewers had, but we were delighted with the hotel. We stayed for a leisure break for two nights and found the hotel surpassed out expectations. The breakfast was particularly good, and with the exception of one member of staff at check-in, we found the staff to be friendly. On the negative side, an expensive £20 charge for early checkin - even though our room was ready. The room has a cooling system but is not true air conditioning and that was all the problems we had. Would definitely use again","en"
"7",4,"We stayed here for a long bank holiday. It's a great low price accommodation with a great location stayed in a studio which was very spacious. Only downside was we were on the road side and traffic was loud at times. Better glazing could sort this. All in all couldn't of got a better place for such a great price","en"
"8",4,"Never had such good service at a Travel Lodge. The staff were really good. Parking fees are very reasonable for the area. Close enough to Excel to walk and good value. Really can't find anything bad to say.","en"
"9",4,"My bf and l stayed at this hotel for one night yesterday as a belated Valentines treat (way cheaper than on 14th!), and we had an amazing stay. The hotel itself is very plush and with high end finishings, the staff at reception were most helpful and polite but not too stuffy. It's in a beautiful building that you don't really get to appreciate from the inside but still nice to view the court yard in the morning on our way to breakfast. The porter also gave us info about the place as he showed us to our room which was a nice touch. I booked through booking.com with a deal of a club room with breakfast, at check in we discovered we were able to go for free canapes and drinks in the club lounge which was a great added bonus. After a long travel from Brighton through heavy traffic it was just needed to relax with a glass of wine and some salmon sandwiches. The room itself was very lavishly decorated with a glass wall partitioning the bathroom off (blind use optional!), ipod docking station and a well stocked tea/coffee tray. For the price l was miffed that no water or light snacks were supplied free, only available from the mini bar, and a big disappointment was no bath robes. However, the bath was divine and big enough for two (tried and tested!), we refused the turn down service but happily received a card and a little tin of mints. As the hotel is pretty central to Old Street we found a little Thai place about 10 mins walk away for dinner before returning to make the most of the room. When we got back there was still some crockery in the hall near our room that l'd noticed there when we checked in, for a hotel of this quality l would of thought that should of been dealt with much quicker. The TV had a fairly poor quality screen but sufficed and the bed just made up for everything else - it felt like being enveloped in heaven. Both my partner and l had a fantastic sleep, had to drag ourselves out for the hot breakfast in the adjoining pub. Gave over our room number and there had been some mix up on the paperwork saying we could only have the hotel continental breakfast, however the waiter reassured my protests and sat us anyway, then went to check. All was well and we ordered Eggs Benedict that my bf couldn't stop raving about. Sampled the sausages, mushrooms, croissants and pain au chocolat from the buffet area, all of which were equally as delish. Overall l really enjoyed my stay at this hotel and would recommend it/go back myself but perhaps insist on robes and have time to check out the sauna/steam room in the wellness centre!","en"
"10",2,"I know a friend and I booked a cheapy package so I was not expecting any high standard or luxury, I knew it would be basic - but what I do expect is good manners, full cleanliness and a good degree of customer service. Where do I begin - we had to pay £20 deposit for a hairdryer and had to seek out the housekeeper in order to get one (don't try after 7pm at night or you have no chance). DO NOT speak to a concierge as they are no help, they sell you a map at £2 if you ask for directions, ask them anything else and they will answer with one word and will give the impression that you are encroaching upon their precious time - VERY RUDE!!! as for the room - The bedding stunk of sweat. The shower curtain was dirty and encrusted with dirt. If you want more than one cup of tea/coffee each forget it as that's all you are allowed. There is no temperature adjustment in the room, you are either hot or cold, so don't stay in the sumer as no air con!! If you wish to leave your luggage on the day of checkout , be warned you have to pay 50p per item which I feel is a rip off. Also the breakfast is a disgrace, cold and greasy food. Also the tables were scruffy and heaven help you if you ask someone to clean it as they will just scowl at you. Vending machines - out of order for 3 days we were there so take a drink/snacks with you - at least there is a shop across the road that is open. Location, excellent, and there is a tube station very close by and you can get the piccadilly line to most destinations. Overall I would not say do not go, but expect to get less than the basics and just be prepared. It is ok to get your head down for 1 or 2 nights but that is it. Do not ask questions as you will just get attitude back!! Premier Travel Inn is so much better if you want decent basics with good service.","en"
